"工作","年份/作者","状态","论文/官方页","官方代码","路由对象","决策粒度","任务内动态切换","Router输入","Agent历史/中间状态","显式阶段区分","Router类型","训练标签来源","强LLM/Judge","未见模型","改变原workflow","成本目标","计入成本","忽略/未报告成本","Benchmark/模型池","核心结果(作者条件)","关键局限","与RouteCraft重叠"
"TwinRouterBench","2026; Pei Yang et al.","arXiv preprint","https://arxiv.org/abs/2605.18859","https://github.com/CommonstackAI/TwinRouterBench","每call具体完整模型/tier","static prefix；dynamic per-call","是","router-visible prefix、model tier/cost/cache规则","真实trajectory prefix","不显式七阶段","Logistic等静态Router+dynamic evaluator","strong seed后greedy downgrade，common strong continuation；执行verifier/Judge","开放任务需要Judge；执行任务确定性","模型池锁定；open-set非核心","否","resolution/quality与realized API spend","input/cache-read/cache-write/output四桶；cache miss规则；failure penalty","Router训练/部署、tool/energy、queue/P95、handoff行为","970 prefixes/520实例；dynamic 100 held-out SWE；11 models/4 tiers","作者报告dynamic logistic 75/100,$25.66 vs Opus 74/100,$54.73","greedy local label≠global policy effect；100-task live小样本","极高；same-prefix/common-continuation/cache先例"
"Agentic Routing: Harness-Native Data Flywheel","2026; TokenRhythm Technologies","arXiv technical report/preprint","https://arxiv.org/abs/2607.11399","https://github.com/opensquilla/opensquilla","singleton完整模型或model set/ensemble","每step/turn","是","observation、raw/compressed context、control、actions、artifacts、tools、recovery、verification","完整harness state","显式含recovery/verification等","规则+四层admission/demand/risk/profile+LightGBM seed","arena record后续verifier/outcome；提出IPS/DR/online flywheel","视任务verifier/Judge","profile可扩展但unseen实证有限","报告声称隔离model selection；框架也可改config/proposer","score/cost/latency","realized token/billed cost、部分latency","cache loss、完整tool/Judge/Router训练CPU、switch未闭合","DRACO/PinchBench; Opus/GLM/DeepSeek等","作者报告Pinch 93.14%/$0.0204 vs Opus 94.33%/$0.1649","部分设计是蓝图；数据/CI披露有限","极高；harness-state/flywheel/realized-cost均已覆盖"
"Budget-Aware Agentic Routing","2026; Caiqi Zhang et al.","arXiv preprint","https://arxiv.org/abs/2602.21227","未核验","SMALL/LARGE完整模型","每Agent step","是","完整interaction history+remaining budget","全历史","ReAct隐式，未显式七阶段","Qwen2.5-1.5B Router；BoSFT+BoPO/GRPO","always-small/large rollouts、cheapest successful轨迹、terminal reward","terminal environment；非在线强Judge为主","有限的另一模型对验证；非candidate profile","否","success-cost under hard budget","I/O list price；估算Router<0.2s/<2%但主要结果排除","cache、switch、tool、retry、Judge、energy、rollout collection","ScienceWorld/ALFWorld/AppWorld; GPT-4.1 mini/4.1等","作者条件下优于若干路由；First-Large仍有竞争力","Router成本未实测闭合；per-step credit；二元池","极高；β固定next_call"
"EASy","2026; Junnan Liu et al.","preprint, under review","https://arxiv.org/abs/2608.04588","未核验","workflow executor/model/context配置","自生成milestone/node","是","task+generated milestone/DAG/results","生成的workflow state","显式milestone-plan-act","7B orchestrator+RL/tree rollout","milestone/plan search与verifier/reward","数学verifier；部分任务Judge","评Qwen-14B unseen config","是；生成DAG、并行节点、executor assignment","token-based efficiency","总tokens的proxy efficiency","Router/orchestrator、verifier、tool、cache、switch、retry、美元、latency/energy拆分","AIME/MATH/ALFWorld/WebShop/GAIA/HLE","作者报告其协议下质量/效率改善","收益与replanning不可分；模型配置多为同模型budget","中；milestone先例但非公平baseline"
"GraphPlanner","2026; Tao Feng et al.","ICLR 2026","https://openreview.net/forum?id=ZdGB7MNQDT","https://github.com/ulab-uiuc/GraphPlanner","agent role+完整模型+workflow动作","workflow graph step/node","是","history/workflow graph+model descriptions","图状态/历史","Planner/Executor/Summarizer显式role","GARNet+PPO","task reward/rollouts","视任务Judge/verifier","是；description/profile与unseen实验","是；phase2生成workflow","accuracy-cost","I/O token估价；训练时长/显存","部署Router、cache、switch、retry、tool、Judge/energy","14 tasks/6 domains/12 models","作者报告phase1平均+3.8pp、phase2+9.3pp","workflow变化导致不可归因Router","中；graph/stage model assignment邻近"
"Iterative Critique-and-Routing Controller","2026; Wenzhi Fang et al.","arXiv preprint；录用未核验","https://arxiv.org/abs/2605.08686","未核验","下一完整模型+task stop/continue","每refinement turn","是","query+previous draft+critique","draft/critique history","critique/verify/refine显式但专用workflow","4B/7B controller+GRPO+Lagrange","routing correctness、verification decision、composite terminal reward","controller/Judge式评价","否","是；建立迭代改稿workflow","质量与strong-agent利用率","未提供完整美元/token frontier","controller/critique/extra turn/cache/switch/latency；只承认overhead","7 math benchmarks; Qwen/Ministral/Llama池","作者报告两个setting平均80.5/82.3且strong<25% calls","stop是任务终止而非未来reopen；workflow专用","极高结构同构；禁止claim first joint model+termination"
"Agent-as-a-Router","2026; Pengfei Zhou et al.","arXiv preprint","https://arxiv.org/abs/2606.22902","https://github.com/LanceZPF/agent-as-a-router","每个coding task完整模型","task-level C-A-F；跨任务在线memory","单任务内否","task metadata+performance prior+memory kNN","跨任务feedback/trace memory","否","Qwen3.5-0.8B ACRouter+heuristic weighted vote","task verifier/performance/cost/trace memory","AST/sandbox/self-consistency/Judge可选","OOD task有实证；新模型依赖probe/prior","否","自定义performance/cost score","backend I/O token；self-hosted Router吞吐估价","provider cache不可观测；embedding/verifier/sandbox/tool/recovery未闭合","CodeRouterBench 10,111; 8 frontier models","作者报告ID/OOD自定义score提升","结果依赖自定义切分/score；单任务pin","中；β=task_terminal+continual memory"
"Aragog","2025; Yinwei Dai et al.","arXiv preprint","https://arxiv.org/abs/2511.20975","未核验","固定DAG stage的模型配置+serving调度","每固定stage","是","stage+实时load/queue","系统执行状态；少量Agent语义","由workflow固定stage","accuracy-preserving config search+JIT load-aware scheduler","离线accuracy profile+在线system telemetry","离线accuracy评估","配置池可profile；未见模型非主要主张","workflow固定，但stage assignment改变","throughput/median latency/accuracy","GPU serving、queue、load、latency","API token、prompt cache、Agent retry/tool/handoff/energy披露有限","多stage agentic workflows/model configs","作者报告显著throughput/latency改善；版本数字有差异未在主报告采用","边界由DAG给定；不学semantic reopen","中；证明固定stage runtime assignment不新"
"AgentRouter","2026; Rudrendu Kumar Paul, Sourav Nandy","ICML 2026 AdaptFM workshop元数据；正文未核验","https://openreview.net/forum?id=nu3GPfkyJV","未核验","题名显示multi-step workflow异构模型","疑似step级；未核验","未核验","未核验","未核验","未核验","未核验","未核验","未核验","未核验","未核验","未核验","未核验","未核验","未核验","官方PDF执行日403；不采用搜索摘要数字","正文/代码/结论未核验","潜在高冲突；取得正文前不得claim first step-level"
"vLLM Semantic Router SAAR","2026; vLLM Semantic Router project","开源系统/官方技术博客；非单一同行评审论文主张","https://vllm-project.github.io/2026/06/02/session-aware-agentic-routing.html","https://github.com/vllm-project/semantic-router/tree/ef9e5dd99c953a21d20a99a93547e57468bae863","完整模型stay/switch+serving policy","每进入Router的请求重算；hard lock/reset隐式commitment","是","request signals+session/router memory+tool/private-state/cache/handoff","current model、turn/switch history、token/cache/cost、tool loop","以tool/provider-state lock和idle/drift显式系统阶段","base selector+规则/score penalties+replay prior","synthetic/replay配置；非matched boundary outcome","不需在线强Judge；synthetic exact-answer","可配置新模型但需价格/cache/profile；非零样本保证","否；serving层包装","质量/安全切换/cache-aware cost","prompt/cache read/write/completion价格、estimated cache savings、selector latency","真实cloud bill、tool/retry/judge/energy、load/queue归因未闭合","21,600 synthetic turns+2,896 live requests；配置模型池","作者报告switch -79.29%、unsafe 3836→0、估算cost -78.71%","模拟/配置成本不等CPS；权重/边界多为固定规则","极高；最强session-aware/adaptive stay-switch blocker"
"DeepSeek Harness","2026; deepseek-ai project","开源pre-release npm 0.1.0-rc.5；系统实现而非Router论文","https://github.com/deepseek-ai/deepseek-harness/tree/47f943859bef60e4160492346772ded9b24f765a","同左","不是Router；提供完整模型override/event/fork/usage seam","每provider call可override；fork到closed turn event prefix","可由插件实现","agent/request从session events编译；provider/model/reasoningEffort可替换","append-only events、tool/error/retry、usage","harness原生事件；无内建语义七阶段","plugin waterfall/adapter seam","无Router训练标签","无","取决于插件/model profile","不改loop即可override","提供计量，不定义优化目标","uncached input/cache read/write/output/reasoning五桶；attempt/retry事件","world snapshot、美元价格、tool/energy、queue、跨provider state真实可迁移性","系统代码/单测；非benchmark","无性能结论；接口可行","fork仅event prefix+cwd；跨adapter剥离private replay；本地同名包冲突","实现底座高；不是新颖性先例"
